id,value1,value2
41773,98,50
41774,41,9
41775,41,73
41776,13,3
41777,50,53
41778,40,2
41779,43,34
41780,68,89
41781,48,41
41782,61,54
41783,90,84
41784,91,66
41785,1,1
41786,70,23
41787,23,15
41788,34,93
41789,71,74
41790,24,25
41791,89,19
41792,20,59
41793,96,91
41794,73,85
41795,69,3
41796,62,99
41797,58,95
41798,41,72
41799,67,34
41800,92,19
41801,47,28
41802,50,72
41803,49,60
41804,32,61
41805,4,73
41806,22,52
41807,64,22
41808,95,73
41809,98,73
41810,20,92
41811,38,29
41812,85,82
41813,46,61
41814,86,27
41815,9,79
41816,7,55
41817,17,41
41818,52,87
41819,44,85
41820,9,24
41821,43,77
41822,26,3
41823,25,39
41824,95,50
41825,9,95
41826,57,7
41827,47,71
41828,78,100
41829,25,72
41830,69,89
41831,52,60
41832,75,38
41833,12,58
41834,91,38
41835,3,75
41836,62,71
41837,22,75
41838,77,2
41839,94,72
41840,61,30
41841,12,89
41842,42,72
41843,100,7
41844,82,42
41845,96,85
41846,77,77
41847,32,86
41848,21,2
41849,6,93
41850,14,70
41851,85,5
41852,29,41
41853,27,15
41854,82,22
41855,55,94
41856,2,65
41857,3,99
41858,66,9
41859,44,28
41860,68,86
41861,81,35
41862,92,69
41863,48,55
41864,58,65
41865,46,21
41866,13,55
41867,79,85
41868,76,68
41869,96,57
41870,68,13
41871,59,18
41872,32,99
41873,61,52
41874,59,45
41875,41,48
41876,7,52
41877,3,45
41878,14,99
41879,19,70
41880,53,41
41881,85,84
41882,14,66
41883,47,92
41884,94,44
41885,32,85
41886,100,91
41887,91,48
41888,24,60
41889,31,93
41890,79,86
41891,49,63
41892,19,82
41893,59,84
41894,10,37
41895,75,94
41896,70,28
41897,63,25
41898,85,40
41899,66,60
41900,88,30
41901,84,53
41902,29,56
41903,31,72
41904,51,72
41905,84,84
41906,2,91
41907,9,98
41908,16,30
41909,5,67
41910,61,17
41911,27,46
41912,24,92
41913,40,20
41914,2,68
41915,55,40
41916,78,62
41917,32,78
41918,42,99
41919,45,92
41920,56,2
41921,59,78
41922,49,20
41923,59,23
41924,31,87
41925,22,19
41926,47,68
41927,21,86
41928,84,99
41929,75,47
41930,24,67
41931,24,83
41932,9,40
41933,8,88
41934,76,36
41935,93,57
41936,66,78
41937,42,17
41938,12,80
41939,98,19
41940,90,46
41941,32,28
41942,15,33
41943,30,6
41944,70,64
41945,84,97
41946,97,24
41947,23,99
41948,54,86
41949,98,44
41950,92,57
41951,63,5
41952,18,11
41953,27,30
41954,61,60
41955,42,51
41956,86,45
41957,26,13
41958,16,54
41959,68,40
41960,11,37
41961,88,53
41962,31,39
41963,4,32
41964,83,19
41965,34,90
41966,28,8
41967,91,40
41968,8,34
41969,22,51
41970,84,7
41971,53,34
41972,31,76
41973,26,10
41974,86,1
41975,11,59
41976,22,91
41977,92,93
41978,72,50
41979,10,62
41980,64,31
41981,35,44
41982,65,84
41983,87,95
41984,86,89
41985,64,30
41986,43,78
41987,81,89
41988,70,97
41989,77,41
41990,37,15
41991,24,66
41992,9,30
41993,78,88
41994,100,77
41995,75,70
41996,88,15
41997,34,67
41998,66,46
41999,78,17
42000,52,25
42001,51,92
42002,38,92
42003,57,64
42004,96,94
42005,86,75
42006,40,76
42007,10,37
42008,82,93
42009,43,28
42010,97,14
42011,4,7
42012,77,32
42013,90,4
42014,63,55
42015,80,35
42016,19,4
42017,39,35
42018,14,12
42019,31,17
42020,61,82
42021,3,10
42022,56,60
42023,39,84
42024,64,60
42025,31,1
42026,78,17
42027,58,24
42028,45,15
42029,50,100
42030,28,56
42031,64,89
42032,94,45
42033,30,82
42034,55,82
42035,26,78
42036,63,73
42037,62,78
42038,35,34
42039,79,71
42040,2,17
42041,54,21
42042,82,59
42043,79,20
42044,5,17
42045,40,20
42046,33,11
42047,38,5
42048,59,85
42049,26,65
42050,82,51
42051,56,17
42052,41,37
42053,84,71
42054,1,48
42055,3,40
42056,44,57
42057,59,76
42058,51,87
42059,83,14
42060,28,19
42061,92,25
42062,41,55
42063,38,60
42064,57,85
42065,3,75
42066,15,76
42067,93,56
42068,58,97
42069,52,20
42070,24,5
42071,17,80
42072,45,57
42073,69,87
42074,46,32
42075,86,96
42076,29,17
42077,78,97
42078,85,5
42079,97,7
42080,67,94
42081,78,53
42082,35,74
42083,29,80
42084,68,37
42085,75,65
42086,44,58
42087,14,58
42088,93,73
42089,9,46
42090,56,18
42091,19,56
42092,41,97
42093,45,71
42094,7,95
42095,99,9
42096,93,94
42097,53,32
42098,12,53
42099,78,65
42100,25,16
42101,78,82
42102,59,7
42103,48,74
42104,21,35
42105,82,90
42106,29,24
42107,85,82
42108,26,37
42109,56,38
42110,30,48
42111,18,27
42112,61,19
42113,48,61
42114,63,27
42115,96,70
42116,2,81
42117,36,93
42118,9,95
42119,42,78
42120,1,97
42121,20,44
42122,16,11
42123,4,56
42124,91,78
42125,48,24
42126,18,99
42127,75,11
42128,57,8
42129,26,66
42130,60,46
42131,26,59
42132,94,66
42133,21,67
42134,9,55
42135,93,56
42136,56,71
42137,5,58
42138,96,1
42139,52,70
42140,79,48
42141,69,7
42142,47,50
42143,10,12
42144,51,79
42145,14,80
42146,10,30
42147,36,22
42148,47,58
42149,45,51
42150,100,52
42151,27,71
42152,44,75
42153,54,30
42154,81,45
42155,87,10
42156,7,77
42157,34,14
42158,66,90
42159,20,50
42160,64,22
42161,14,20
42162,87,37
42163,84,63
42164,48,78
42165,36,28
42166,29,49
42167,59,68
42168,28,57
42169,75,5
42170,45,40
42171,92,21
42172,77,94
42173,85,51
42174,74,14
42175,27,82
42176,62,79
42177,64,72
42178,79,81
42179,51,77
42180,45,82
42181,81,78
42182,8,94
42183,51,42
42184,86,80
42185,71,75
42186,41,35
42187,36,48
42188,94,95
42189,66,28
42190,23,25
42191,92,77
42192,81,86
42193,74,35
42194,7,74
42195,40,24
42196,42,94
42197,74,80
42198,58,50
42199,49,62
42200,96,76
42201,92,43
42202,21,18
42203,49,87
42204,49,47
42205,95,62
42206,51,49
42207,54,21
42208,13,36
42209,50,6
42210,99,98
42211,98,27
42212,41,38
42213,10,53
42214,81,9
42215,55,25
42216,83,58
42217,54,90
42218,72,68
42219,39,71
42220,85,74
42221,74,26
42222,95,16
42223,78,45
42224,24,100
42225,99,38
42226,43,84
42227,93,28
42228,65,93
42229,60,41
42230,97,62
42231,1,13
42232,1,98
42233,26,75
42234,8,7
42235,67,100
42236,11,79
42237,33,8
42238,19,85
42239,50,5
42240,91,18
42241,68,7
42242,46,98
42243,43,49
42244,82,33
42245,63,73
42246,65,82
42247,91,98
42248,26,34
42249,38,26
42250,49,30
42251,29,6
42252,45,2
42253,38,77
42254,82,52
42255,44,70
42256,79,54
42257,85,79
42258,27,28
42259,37,40
42260,57,44
42261,23,26
42262,58,32
42263,100,78
42264,78,23
42265,58,6
42266,35,81
42267,37,6
42268,60,4
42269,67,38
42270,7,32
42271,29,5
42272,94,23
42273,67,22
42274,87,45
42275,13,18
42276,81,68
42277,18,78
42278,81,58
42279,26,69
42280,65,33
42281,17,67
42282,71,16
42283,23,62
42284,99,22
42285,14,82
42286,86,28
42287,13,93
42288,3,79
42289,8,1
42290,11,8
42291,2,73
42292,23,36
42293,57,94
42294,85,50
42295,30,65
42296,4,67
42297,97,95
42298,67,29
42299,55,91
42300,54,70
42301,93,50
42302,84,73
42303,66,99
42304,32,64
42305,1,51
42306,94,60
42307,59,52
42308,80,64
42309,48,3
42310,94,48
42311,92,43
42312,95,98
42313,93,46
42314,8,97
42315,26,94
42316,1,51
42317,88,35
42318,23,59
42319,52,49
42320,39,96
42321,13,51
42322,28,91
42323,26,47
42324,84,62
42325,3,28
42326,23,73
42327,38,49
42328,79,98
42329,95,69
42330,48,56
42331,61,11
42332,94,34
42333,80,1
42334,66,37
42335,99,14
42336,56,21
42337,93,67
42338,42,87
42339,23,57
42340,15,4
42341,40,82
42342,35,5
42343,7,69
42344,48,59
42345,54,100
42346,52,28
42347,33,56
42348,61,55
42349,9,47
42350,50,93
42351,84,72
42352,77,25
42353,69,32
42354,83,4
42355,99,95
42356,12,36
42357,91,22
42358,11,41
42359,83,36
42360,80,10
42361,5,55
42362,51,41
42363,97,11
42364,20,23
42365,93,9
42366,34,81
42367,90,49
42368,58,94
42369,67,8
42370,99,13
42371,80,64
42372,33,22
42373,68,69
42374,62,59
42375,100,86
42376,19,96
42377,79,93
42378,91,67
42379,52,4
42380,53,35
42381,87,4
42382,31,79
42383,22,76
42384,24,23
42385,90,24
42386,7,10
42387,29,15
42388,80,24
42389,43,15
42390,44,50
42391,97,86
42392,40,90
42393,76,56
42394,41,15
42395,93,55
42396,61,9
42397,5,99
42398,36,55
42399,91,28
42400,52,42
42401,27,96
42402,73,33
42403,2,99
42404,92,41
42405,8,70
42406,58,57
42407,4,24
42408,24,71
42409,92,76
42410,61,25
42411,47,20
42412,8,65
42413,29,20
42414,30,22
42415,82,84
42416,9,33
42417,73,1
42418,83,48
42419,15,48
42420,94,51
42421,6,15
42422,7,7
42423,29,21
42424,89,37
42425,28,88
42426,55,34
42427,77,11
42428,46,34
42429,39,59
42430,26,1
42431,72,21
42432,27,34
42433,30,52
42434,58,8
42435,81,38
42436,69,1
42437,31,60
42438,62,45
42439,66,97
42440,80,24
42441,96,82
42442,30,8
42443,38,90
42444,71,50
42445,47,82
42446,10,91
42447,69,69
42448,84,43
42449,38,89
42450,84,66
42451,44,11
42452,43,35
42453,23,82
42454,99,94
42455,17,62
42456,87,55
42457,63,55
42458,31,26
42459,85,96
42460,36,19
42461,67,28
42462,28,61
42463,95,14
42464,79,91
42465,92,84
42466,26,51
42467,48,47
42468,73,87
42469,91,57
42470,100,85
42471,3,65
42472,100,44
42473,16,60
42474,41,82
42475,5,10
42476,16,55
42477,40,19
42478,36,31
42479,14,96
42480,73,89
42481,3,75
42482,5,26
42483,42,88
42484,31,34
42485,17,48
42486,77,23
42487,67,52
42488,99,44
42489,63,39
42490,36,67
42491,18,21
42492,54,39
42493,78,76
42494,20,37
42495,27,85
42496,50,23
42497,92,62
42498,46,57
42499,10,75
42500,21,24
42501,7,99
42502,44,19
42503,100,76
42504,66,16
42505,71,6
42506,14,76
42507,90,18
42508,56,26
42509,43,22
42510,95,70
42511,85,41
42512,72,63
42513,33,1
42514,85,47
42515,92,7
42516,80,79
42517,88,53
42518,2,66
42519,77,56
42520,58,48
42521,83,95
42522,93,33
42523,80,60
42524,43,21
42525,75,38
42526,97,56
42527,31,31
42528,53,60
42529,18,21
42530,28,57
42531,68,61
42532,15,38
42533,65,14
42534,28,88
42535,42,22
42536,57,1
42537,69,27
42538,59,2
42539,45,63
42540,14,76
42541,52,60
42542,34,17
42543,8,49
42544,95,92
42545,82,51
42546,44,37
42547,31,92
42548,52,87
42549,52,53
42550,54,21
42551,72,83
42552,20,10
42553,50,6
42554,3,17
42555,80,51
42556,4,18
42557,96,90
42558,59,88
42559,51,61
42560,57,33
42561,58,92
42562,49,32
42563,17,9
42564,17,45
42565,70,54
42566,52,68
42567,87,52
42568,43,33
42569,19,12
42570,45,44
42571,80,21
42572,91,22
42573,18,50
42574,3,83
42575,65,92
42576,38,15
42577,98,61
42578,85,69
42579,45,69
42580,53,10
42581,38,35
42582,49,96
42583,82,5
42584,23,77
42585,62,57
42586,39,92
42587,75,98
42588,63,43
42589,3,21
42590,100,38
42591,14,22
42592,45,15
42593,65,12
42594,80,53
42595,69,35
42596,36,21
42597,35,39
42598,86,95
42599,32,80
42600,100,20
42601,82,70
42602,72,77
42603,13,17
42604,52,76
42605,60,94
42606,27,86
42607,77,8
42608,8,32
42609,19,20
42610,45,50
42611,58,76
42612,22,7
42613,3,99
42614,81,60
42615,41,96
42616,65,22
42617,67,20
42618,94,74
42619,51,83
42620,28,24
42621,71,94
42622,60,32
42623,74,49
42624,19,58
42625,79,64
42626,64,64
42627,44,14
42628,68,3
42629,75,25
42630,97,32
42631,52,52
42632,64,40
42633,10,80
42634,27,88
42635,69,19
42636,8,81
42637,44,57
42638,62,39
42639,60,12
42640,48,54
42641,76,30
42642,100,2
42643,97,11
42644,35,37
42645,51,37
42646,88,27
42647,11,80
42648,14,4
42649,91,48
42650,70,65
42651,29,33
42652,41,55
42653,98,1
42654,47,90
42655,11,93
42656,69,40
42657,80,81
42658,5,25
42659,53,97
42660,59,14
42661,63,86
42662,83,55
42663,18,34
42664,36,7
42665,20,31
42666,100,99
42667,5,82
42668,84,99
42669,77,91
42670,76,56
42671,20,73
42672,90,81
42673,20,26
42674,21,42
42675,78,83
42676,59,19
42677,58,48
42678,78,35
42679,12,53
42680,13,32
42681,93,100
42682,99,20
42683,3,23
42684,12,11
42685,22,75
42686,22,53
42687,67,5
42688,58,25
42689,31,5
42690,80,43
42691,32,70
42692,68,90
42693,28,47
42694,55,83
42695,44,29
42696,45,12
42697,90,41
42698,44,82
42699,50,90
42700,64,79
42701,50,34
42702,82,27
42703,73,46
42704,15,28
42705,42,75
42706,17,29
42707,95,33
42708,34,43
42709,5,49
42710,87,63
42711,3,36
42712,60,60
42713,49,98
42714,23,24
42715,65,26
42716,75,46
42717,94,19
42718,72,81
42719,96,60
42720,74,72
42721,15,86
42722,14,51
42723,84,36
42724,57,42
42725,43,57
42726,93,52
42727,25,64
42728,97,32
42729,6,77
42730,84,62
42731,97,91
42732,86,9
42733,100,91
42734,30,70
42735,56,17
42736,79,3
42737,78,59
42738,89,14
42739,96,53
42740,2,57
42741,59,59
42742,18,61
42743,31,52
42744,54,91
42745,33,46
42746,36,92
42747,97,66
42748,6,38
42749,48,70
42750,17,41
42751,35,12
42752,76,65
42753,38,55
42754,39,5
42755,72,15
42756,76,79
42757,54,52
42758,98,30
42759,41,24
42760,4,83
42761,79,29
42762,46,17
42763,1,21
42764,2,54
42765,38,79
42766,75,2
42767,4,77
42768,85,23
42769,20,34
42770,23,91
42771,90,5
42772,51,74
42773,34,64
42774,27,76
42775,70,50
42776,95,30
42777,46,15
42778,99,18
42779,59,94
42780,71,7
42781,4,23
42782,89,97
42783,88,8
42784,67,44
42785,86,11
42786,12,60
42787,10,87
42788,12,7
42789,6,80
42790,95,53
42791,11,62
42792,25,18
42793,50,86
42794,79,6
42795,3,100
42796,76,65
42797,64,67
42798,48,62
42799,28,16
42800,36,40
42801,13,44
42802,55,95
42803,33,6
42804,84,51
42805,51,49
42806,95,38
42807,16,66
42808,38,25
42809,59,66
42810,76,42
42811,93,36
42812,74,46
42813,45,69
42814,21,57
42815,80,18
42816,35,19
42817,86,86
42818,15,44
42819,36,68
42820,32,95
42821,71,65
42822,55,88
42823,37,23
42824,82,76
42825,62,86
42826,80,14
42827,98,94
42828,47,71
42829,9,20
42830,66,23
42831,58,37
42832,18,11
42833,91,18
42834,52,16
42835,25,45
42836,53,1
42837,35,29
42838,71,15
42839,76,39
42840,69,96
42841,81,46
42842,52,35
42843,8,17
42844,44,90
42845,26,79
42846,57,36
42847,9,36
42848,82,10
42849,60,27
42850,53,100
42851,4,65
42852,4,9
42853,66,27
42854,53,22
42855,24,21
42856,39,92
42857,52,90
42858,65,20
42859,7,89
42860,58,73
42861,11,24
42862,27,3
42863,89,58
42864,59,25
42865,18,60
42866,18,62
42867,89,52
42868,61,37
42869,88,72
42870,92,70
42871,29,2
42872,66,10
42873,51,30
42874,88,65
42875,80,44
42876,67,34
42877,84,83
42878,12,8
42879,27,68
42880,18,76
42881,2,71
42882,31,42
42883,72,49
42884,26,12
42885,17,4
42886,89,52
42887,53,35
42888,92,27
42889,13,68
42890,55,79
42891,54,59
42892,2,29
42893,16,28
42894,99,36
42895,30,50
42896,100,70
42897,24,88
42898,100,20
42899,40,5
42900,94,35
42901,37,2
42902,22,49
42903,97,15
42904,41,80
42905,92,51
42906,73,85
42907,5,94
42908,30,42
42909,5,46
42910,91,76
42911,73,48
42912,75,97
42913,53,29
42914,89,53
42915,20,70
42916,28,59
42917,53,94
42918,31,13
42919,98,51
42920,68,89
42921,28,99
42922,73,79
42923,11,37
42924,7,51
42925,19,15
42926,82,2
42927,11,71
42928,72,46
42929,5,8
42930,28,57
42931,10,13
42932,87,18
42933,54,46
42934,70,41
42935,92,36
42936,3,33
42937,59,28
42938,55,44
42939,27,49
42940,1,71
42941,7,39
42942,90,39
42943,98,57
42944,77,95
42945,78,39
42946,74,39
42947,1,48
42948,57,54
42949,9,66
42950,3,57
42951,35,43
42952,84,43
42953,52,6
42954,12,33
42955,78,60
42956,42,6
42957,24,40
42958,43,85
42959,34,96
42960,20,61
42961,17,100
42962,79,96
42963,95,4
42964,54,45
42965,43,95
42966,100,85
42967,43,84
42968,48,68
42969,69,9
42970,94,30
42971,55,35
42972,4,11
42973,44,34
42974,91,17
42975,82,66
42976,42,85
42977,84,64
42978,63,99
42979,65,14
42980,12,94
42981,21,6
42982,33,13
42983,37,65
42984,71,48
42985,37,96
42986,14,43
42987,52,35
42988,63,75
42989,40,46
42990,11,47
42991,84,45
42992,39,28
42993,24,82
42994,84,57
42995,9,96
42996,80,67
42997,62,47
42998,35,92
42999,63,29
43000,62,85
43001,86,95
43002,76,29
43003,77,86
43004,43,42
43005,91,80
43006,67,80
43007,45,100
43008,64,78
43009,96,79
43010,93,44
43011,28,8
43012,95,81
43013,5,33
43014,29,66
43015,52,64
43016,51,60
43017,58,47
43018,25,31
43019,23,12
43020,4,91
43021,25,97
43022,66,27
43023,49,34
43024,24,42
43025,52,49
43026,41,19
43027,76,12
43028,22,60
43029,68,83
43030,25,45
43031,27,13
43032,68,41
43033,75,72
43034,75,44
43035,26,61
43036,18,1
43037,59,23
43038,76,20
43039,32,68
43040,3,21
43041,10,40
43042,6,52
43043,85,70
43044,39,50
43045,65,15
43046,77,39
43047,40,71
43048,29,10
43049,45,58
43050,94,24
43051,47,11
43052,48,75
43053,64,26
43054,86,99
43055,33,14
43056,21,22
43057,13,85
43058,58,78
43059,70,7
43060,98,49
43061,79,22
43062,17,41
43063,100,66
43064,1,22
43065,44,43
43066,74,61
43067,52,61
43068,50,53
43069,73,33
43070,19,30
43071,3,78
43072,63,92
43073,2,52
43074,17,25
43075,76,23
43076,35,47
43077,1,68
43078,88,37
43079,57,89
43080,46,49
43081,72,51
43082,69,96
43083,15,36
43084,64,8
43085,16,23
43086,21,77
43087,4,92
43088,96,29
43089,11,56
43090,46,19
43091,77,66
43092,63,76
43093,42,72
43094,4,93
43095,4,51
43096,60,62
43097,65,12
43098,71,61
43099,69,62
43100,92,57
43101,31,10
43102,27,72
43103,22,100
43104,55,89
43105,48,23
43106,2,61
43107,84,5
43108,58,33
43109,21,91
43110,18,83
43111,80,24
43112,68,28
43113,96,70
43114,85,8
43115,74,8
43116,28,81
43117,86,17
43118,30,15
43119,17,96
43120,89,35
43121,52,18
43122,18,88
43123,18,6
43124,23,2
43125,16,2
43126,13,93
43127,18,36
43128,69,67
43129,53,31
43130,58,44
43131,88,11
43132,8,44
43133,18,44
43134,78,85
43135,32,91
43136,88,74
43137,62,80
43138,92,94
43139,100,13
43140,4,18
43141,37,65
43142,77,92
43143,42,35
43144,3,94
43145,23,68
43146,31,48
43147,36,62
43148,91,19
43149,35,44
43150,47,60
43151,13,100
43152,16,24
43153,44,46
43154,31,7
43155,31,34
43156,67,83
43157,5,59
43158,13,56
43159,56,51
43160,4,14
43161,37,99
43162,85,36
43163,64,99
43164,36,21
43165,10,49
43166,64,94
43167,85,67
43168,36,46
43169,50,28
43170,72,24
43171,95,96
43172,34,73
43173,87,75
43174,76,45
43175,33,29
43176,21,80
43177,48,87
43178,82,51
43179,31,75
43180,37,1
43181,17,40
43182,58,96
43183,75,57
43184,20,67
43185,8,87
43186,26,23
43187,47,39
43188,74,52
43189,90,23
43190,44,57
43191,78,44
43192,10,44
43193,78,89
43194,5,16
43195,84,35
43196,10,46
43197,71,5
43198,35,13
43199,36,94
43200,74,33
43201,100,74
43202,95,82
43203,45,92
43204,63,3
43205,96,15
43206,5,81
43207,80,81
43208,6,84
43209,45,96
43210,32,16
43211,41,27
43212,88,26
43213,58,33
43214,16,75
43215,44,65
43216,44,58
43217,79,43
43218,2,85
43219,29,46
43220,12,54
43221,17,50
43222,88,81
43223,38,89
43224,12,37
43225,72,44
43226,67,93
43227,73,26
43228,67,3
43229,17,33
43230,79,81
43231,4,90
43232,97,40
43233,48,14
43234,69,42
43235,79,85
43236,29,90
43237,77,95
43238,48,76
43239,2,46
43240,64,44
43241,63,13
43242,90,47
43243,49,86
43244,79,58
43245,77,93
43246,52,20
43247,7,93
43248,16,100
43249,48,52
43250,33,21
43251,54,4
43252,47,5
43253,39,22
43254,71,57
43255,100,11
43256,28,4
43257,41,12
43258,12,9
43259,82,97
43260,20,68
43261,72,2
43262,96,17
43263,3,34
43264,48,51
43265,56,21
43266,68,35
43267,19,69
43268,92,43
43269,78,87
43270,71,81
43271,72,94
43272,59,32
43273,65,47
43274,52,74
43275,7,100
43276,88,79
43277,88,24
43278,92,89
43279,43,57
43280,54,67
43281,46,22
43282,48,9
43283,2,12
43284,16,13
43285,73,51
43286,65,41
43287,40,39
43288,44,41
43289,83,70
43290,14,24
43291,41,75
43292,30,11
43293,90,69
43294,65,88
43295,78,71
43296,9,32
43297,40,93
43298,50,22
43299,1,11
43300,26,32
43301,83,93
43302,68,20
43303,30,22
43304,70,36
43305,88,97
43306,65,76
43307,68,93
43308,5,3
43309,90,99
43310,19,32
43311,12,1
43312,70,31
43313,53,10
43314,6,2
43315,94,23
43316,91,70
43317,38,70
43318,93,27
43319,35,14
43320,14,38
43321,26,13
43322,85,76
43323,79,99
43324,18,67
43325,6,16
43326,16,58
43327,19,9
43328,51,36
43329,29,88
43330,30,54
43331,91,49
43332,56,22
43333,92,34
43334,65,78
43335,6,19
43336,71,78
43337,41,73
43338,9,41
43339,11,49
43340,30,73
43341,29,89
43342,91,10
43343,58,100
43344,89,49
43345,84,41
43346,58,25
43347,73,98
43348,83,81
43349,33,62
43350,28,80
43351,67,69
43352,51,31
43353,77,55
43354,48,97
43355,19,14
43356,85,100
43357,75,100
43358,90,99
43359,11,31
43360,65,94
43361,33,92
43362,57,65
43363,42,9
43364,25,45
43365,69,50
43366,31,70
43367,53,75
43368,67,17
43369,12,63
43370,12,81
43371,71,55
43372,9,31
43373,4,69
43374,55,38
43375,25,99
43376,38,42
43377,99,53
43378,97,95
43379,68,61
43380,17,52
43381,80,50
43382,93,11
43383,88,77
43384,69,65
43385,11,37
43386,94,59
43387,69,16
43388,53,30
43389,66,64
43390,41,64
43391,26,28
43392,75,7
43393,70,18
43394,12,56
43395,70,32
43396,71,82
43397,58,15
43398,41,35
43399,64,21
43400,97,58
43401,100,83
43402,6,77
43403,38,59
43404,3,66
43405,28,89
43406,72,68
43407,25,21
43408,62,96
43409,6,95
43410,11,15
43411,81,68
43412,97,50
43413,28,22
43414,61,52
43415,80,13
43416,78,80
43417,76,11
43418,29,57
43419,4,67
43420,100,23
43421,63,86
43422,64,14
43423,7,32
43424,21,42
43425,81,5
43426,42,63
43427,78,58
43428,73,2
43429,63,78
43430,4,34
43431,49,98
43432,79,48
43433,10,37
43434,20,97
43435,43,50
43436,75,2
43437,15,7
43438,85,35
43439,81,56
43440,7,83
43441,20,89
43442,36,36
43443,77,93
43444,65,20
43445,88,62
43446,15,16
43447,80,41
43448,14,76
43449,30,48
43450,37,35
43451,5,99
43452,60,23
43453,67,53
43454,63,38
43455,55,91
43456,9,33
43457,6,56
43458,80,36
43459,91,36
43460,42,17
43461,33,12
43462,66,4
43463,19,35
43464,14,62
43465,85,33
43466,75,17
43467,49,89
43468,89,82
43469,85,59
43470,31,54
43471,26,47
43472,30,35
43473,45,6
43474,88,72
43475,56,6
43476,22,100
43477,32,26
43478,55,50
43479,54,63
43480,30,56
43481,47,75
43482,79,74
43483,33,16
43484,18,95
43485,94,56
43486,34,95
43487,73,28
43488,49,88
43489,71,2
43490,94,12
43491,3,72
43492,37,89
43493,90,95
43494,40,66
43495,47,87
43496,79,87
43497,36,23
43498,72,85
43499,86,78
43500,75,26
43501,78,27
43502,86,83
43503,68,10
43504,17,22
43505,18,44
43506,47,56
43507,17,11
43508,28,56
43509,72,75
43510,62,53
43511,21,37
43512,25,11
43513,54,67
43514,10,23
43515,25,52
43516,45,39
43517,56,76
43518,28,27
43519,63,35
43520,14,49
43521,18,22
43522,18,45
43523,90,60
43524,19,94
43525,53,36
43526,97,15
43527,96,18
43528,2,6
43529,62,100
43530,70,61
43531,32,81
43532,92,85
43533,70,85
43534,43,87
43535,29,61
43536,26,24
43537,7,60
43538,61,94
43539,72,20
43540,67,52
43541,81,33
43542,85,75
43543,69,98
43544,90,12
43545,65,72
43546,42,12
43547,84,45
43548,58,95
43549,71,9
43550,77,14
43551,4,74
43552,53,54
43553,76,71
43554,13,98
43555,59,39
43556,70,47
43557,34,18
43558,35,83
43559,10,33
43560,18,69
43561,56,35
43562,97,71
43563,92,34
43564,1,88
43565,46,20
43566,8,30
43567,42,22
43568,18,79
43569,71,14
43570,86,49
43571,89,21
43572,94,40
43573,59,73
43574,39,81
43575,88,35
43576,82,86
43577,92,96
43578,70,47
43579,86,53
43580,65,70
43581,45,27
43582,25,28
43583,50,32
43584,20,52
43585,76,17
43586,31,54
43587,37,35
43588,41,14
43589,59,82
43590,6,43
43591,75,36
43592,65,31
43593,86,99
43594,13,34
43595,18,67
43596,41,29
43597,100,67
43598,63,52
43599,57,3
43600,93,58
43601,34,8
43602,83,60
43603,98,67
43604,67,4
43605,92,68
43606,36,98
43607,69,26
43608,7,69
43609,93,60
43610,77,66
43611,11,39
43612,56,32
43613,58,91
43614,68,19
43615,36,41
43616,3,98
43617,33,1
43618,45,31
43619,69,86
43620,90,90
43621,8,79
43622,75,34
43623,28,20
43624,4,92
43625,3,25
43626,21,16
43627,97,63
43628,95,12
43629,81,39
43630,86,29
43631,58,82
43632,38,36
43633,75,33
43634,20,29
43635,95,58
43636,52,66
43637,78,71
43638,80,28
43639,65,97
43640,59,3
43641,73,5
43642,79,88
43643,36,67
43644,46,96
43645,40,80
43646,61,60
43647,51,32
43648,93,91
43649,48,41
43650,40,19
43651,17,3
43652,46,76
43653,40,55
43654,32,65
43655,85,70
43656,6,16
43657,56,70
43658,59,28
43659,69,3
43660,54,81
43661,91,25
43662,70,100
43663,22,86
43664,93,11
43665,26,68
43666,54,98
43667,53,51
43668,98,22
43669,65,55
43670,70,48
43671,43,56
43672,16,15
43673,25,68
43674,9,77
43675,3,1
43676,69,1
43677,81,38
43678,65,55
43679,63,8
43680,11,49
43681,32,51
43682,1,61
43683,12,75
43684,42,59
43685,92,87
43686,95,97
43687,13,31
43688,48,46
43689,58,58
43690,79,88
43691,19,99
43692,50,41
43693,30,7
43694,19,81
43695,91,45
43696,72,81
43697,88,96
43698,30,5
43699,71,81
43700,7,35
43701,47,20
43702,80,84
43703,82,46
43704,52,78
43705,35,12
43706,88,30
43707,37,87
43708,88,54
43709,54,32
43710,72,58
43711,74,22
43712,85,43
43713,45,22
43714,42,17
43715,34,66
43716,51,98
43717,88,83
43718,25,96
43719,5,26
43720,51,74
43721,100,76
43722,14,55
43723,55,85
43724,96,16
43725,60,75
43726,72,69
43727,17,49
43728,77,70
43729,24,80
43730,94,97
43731,39,43
43732,99,41
43733,99,88
43734,50,66
43735,94,24
43736,39,4
43737,98,72
43738,37,39
43739,27,53
43740,51,79
43741,22,1
43742,57,81
43743,49,26
43744,86,19
43745,48,31
43746,88,14
43747,48,92
43748,3,68
43749,11,13
43750,66,62
43751,16,84
43752,51,55
43753,84,76
43754,14,42
43755,7,55
43756,14,94
43757,79,28
43758,100,92
43759,56,16
43760,30,92
43761,1,14
43762,18,27
43763,34,82
43764,12,32
43765,6,39
43766,24,74
43767,17,80
43768,100,23
43769,93,73
43770,38,66
